,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,E164,E165,E166,E167,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,E187,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199,E200,E201,E202,E203,E204,E205,E206,E207,E208,E209,E210,E211,E212,E213,E214,E215,E216,E217,E218,E219,E220,E221,E222,E223,E224,E225,E226,E227,E228,E229,E230,E231,E232,E233,E234,E235,E236,E237,E238,E239,E240,E241,E242,E243,E244,E245,E246,E247,E248,E249,E250,E251,E252,E253,E254,E255,E256,E257,E258,E259,E260,E261,E262,E263,E264,E265,E266,E267,E268,E269,E270,E271,E272,E273,E274,E275,E276,E277,E278,E279,E280,E281,E282,E283,E284,E285,E286,E287,E288,E289,E290,E291,E292,E293,E294,E295,E296,E297,E298,E299,E300,E301,E302,E303,E304,E305,E306,E307,E308,E309,E310,E311,E312,E313,E314,E315,E316,E317,E318,E319,E320,E321,E322,E323,E324,E325,E326,E327,E328,E329,E330,E331,E332,E333,E334,E335,E336,E337,E338,E339,E340,E341,E342,E343,E344,E345,E346,E347,E348,E349,E350,E351,E352,E353,E354,E355,E356,E357,E358,E359,E360,E361,E362,E363,E364,E365,E366,E367,E368,E369,E370,E371,E372,E373,E374,E375,E376,E377,E378,E379,E380,E381,E382,E383,E384,E385,E386,E387,E388,E389,E390,E391,E392,E393,E394,E395,E396,E397,E398,E399,E400,E401,E402,E403,E404,E405,E406,E407,E408,E409,E410,E411,E412,E413,E414,E415,E416,E417,E418,E419,E420,E421,E422,E423,E424,E425
1000000,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1100000,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1200000,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1300000,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1400000,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1500000,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1600000,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1700000,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1800000,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1900000,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
